nquest,stock_participation,mutual_fund_or_etf,direct_listed_stock,income,log_income,education,age,age_centered,age_centered_squared,region,household_size,female_head,weight
1031124,0,0,0,26015.01,10.166429,University,28,-27,-39,South and Islands,1,1,0.23391418
1031130,1,0,1,81404.64,11.307188,University,66,11,121,South and Islands,3,0,0.21762718
1031156,0,0,0,65482.445,11.089538,University,73,18,68,South and Islands,3,0,0.20910046
1031173,0,0,0,6000.0,8.699514,Lower secondary,57,2,4,South and Islands,1,1,0.23328695
1031175,0,0,0,6001.963,8.6998415,Lower secondary,60,5,25,South and Islands,1,0,0.09189703
1031191,0,0,0,13644.0,9.521055,Lower secondary,47,-8,64,South and Islands,2,1,0.48247683
1031211,0,0,0,15004.576,9.616111,Lower secondary,47,-8,64,South and Islands,4,0,0.43975294
1031213,0,0,0,81658.66,11.310303,University,53,-2,4,South and Islands,3,1,0.07830945
1031214,0,0,0,20000.0,9.903487,Upper secondary,51,-4,16,South and Islands,1,0,0.7977831
1031220,0,0,0,7200.397,8.881891,Upper secondary,47,-8,64,South and Islands,3,1,0.6425394
1031223,0,0,0,13200.0,9.487972,Lower secondary,69,14,-60,South and Islands,2,1,0.45810735
1031237,0,0,0,11000.0,9.305651,Lower secondary,56,1,1,South and Islands,1,0,1.1892956
1031241,0,0,0,33708.508,10.425506,Upper secondary,35,-20,-112,South and Islands,4,0,1.5180544
1031245,0,0,0,57628.723,10.961777,University,70,15,-31,South and Islands,2,0,0.01410718
1031247,0,0,0,38586.22,10.560651,Upper secondary,44,-11,121,South and Islands,4,0,0.05600307
1031261,0,0,0,47222.605,10.762628,University,34,-21,-71,South and Islands,2,0,0.75305516
1031279,0,0,0,16100.244,9.68659,Upper secondary,47,-8,64,South and Islands,1,1,0.7410417
1031282,0,0,0,46560.977,10.748518,Lower secondary,41,-14,-60,South and Islands,5,1,0.5413897
1031296,0,0,0,8980.0,9.102756,Lower secondary,32,-23,17,South and Islands,4,1,0.5495034
1031315,0,0,0,39616.273,10.586995,Upper secondary,71,16,0,South and Islands,2,0,0.28839716
1031328,0,0,0,39064.652,10.572973,Upper secondary,60,5,25,South and Islands,3,0,0.058305472
1031330,0,0,0,94107.086,11.4521885,University,58,3,9,South and Islands,3,0,0.07972256
1031337,0,0,0,6078.398,8.712497,Lower secondary,62,7,49,South and Islands,2,1,0.1899399
1031359,0,0,0,8900.313,9.093842,Lower secondary,66,11,121,South and Islands,1,1,0.21851733
1031364,0,0,0,25274.0,10.137531,Lower secondary,50,-5,25,South and Islands,2,1,0.6270309
1031372,0,0,0,9206.271,9.12764,University,29,-26,-92,South and Islands,1,0,0.91731215
1031377,0,0,0,15402.509,9.642285,Upper secondary,59,4,16,South and Islands,2,0,0.34869322
1031384,0,0,0,20400.0,9.92329,Lower secondary,56,1,1,South and Islands,1,0,0.2234947
1031394,0,0,0,11500.0,9.350102,Lower secondary,51,-4,16,South and Islands,1,1,0.43271124
1031401,0,0,0,13603.136,9.518056,Lower secondary,69,14,-60,South and Islands,1,1,0.37416258
1031414,0,0,0,9360.0,9.1442,Lower secondary,35,-20,-112,South and Islands,2,0,0.60929143
1031421,0,0,0,6500.0,8.779557,Primary or less,65,10,100,South and Islands,1,1,0.411352
1031425,0,0,0,24009.812,10.086218,Upper secondary,29,-26,-92,South and Islands,1,0,1.2664884
1031427,0,0,0,12053.566,9.397116,Upper secondary,31,-24,64,South and Islands,1,0,1.4323232
1031430,0,0,0,39214.54,10.576803,University,63,8,64,South and Islands,4,0,0.32332534
1031436,0,0,0,11900.0,9.384294,Upper secondary,22,-33,65,South and Islands,3,0,0.7415852
1031477,0,0,0,5850.784,8.674331,Lower secondary,35,-20,-112,South and Islands,1,1,3.8328693
1031490,0,0,0,24255.543,10.0964,Upper secondary,77,22,-28,South and Islands,1,1,2.1194866
1031543,0,0,0,25641.617,10.151972,Upper secondary,54,-1,1,South and Islands,2,1,2.2548683
1031579,0,0,0,13901.899,9.539781,Primary or less,73,18,68,South and Islands,1,1,0.068357445
1031582,0,0,0,10800.0,9.287301,Primary or less,77,22,-28,South and Islands,1,1,0.26211455
1031587,0,0,0,12700.0,9.449357,Lower secondary,73,18,68,South and Islands,2,0,0.15541032
1031590,0,0,0,13649.408,9.521452,Upper secondary,74,19,105,South and Islands,1,0,0.1333952
1031591,0,0,0,38960.0,10.570291,Primary or less,75,20,-112,South and Islands,3,0,0.052990176
1031594,0,0,0,148404.22,11.907695,University,67,12,-112,South and Islands,2,0,0.146636
1031600,0,0,0,28869.703,10.270548,Primary or less,61,6,36,South and Islands,3,1,0.07344676
1031613,0,0,0,10202.822,9.23042,Lower secondary,55,0,0,South and Islands,3,1,0.24546021
1031616,0,0,0,34600.0,10.451609,Upper secondary,80,25,113,South and Islands,3,0,0.042108722
